Scene,Characters,Location,Film
,"R2-D2,Princess Leia,Jabba the Hutt,C-3PO,Han Solo,Luke Skywalker,Lando Calrissian,Chewbacca",Tatooine,6
,"C-3PO,Jabba the Hutt,Luke Skywalker,R2-D2,Lando Calrissian,Han Solo,Chewbacca,Boba Fett,Princess Leia",Tatooine,6
,"Luke Skywalker,Yoda,R2-D2",Dagobah,6
,"Yoda,Obi-Wan Kenobi,Luke Skywalker",Dagobah,6
,"Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader,Moff Jerjerrod",Death Star 2,6
,"Mon Mothma,Admiral Ackbar,General Madine,Lando Calrissian,Han Solo,Chewbacca,Princess Leia,Luke Skywalker,R2-D2",Alliance Fleet,6
,"Han Solo,Lando Calrissian,Princess Leia,Chewbacca,Luke Skywalker,R2-D2,C-3PO",Alliance Fleet,6
,"Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader,Moff Jerjerrod",Death Star 2,6
,"Han Solo,Princess Leia,Chewbacca,Luke Skywalker,C-3PO,R2-D2",Death Star 2,6
,"Admiral Piett,Anakin Skywalker/Darth Vader",Star Destroyer,6
,"Han Solo,Princess Leia,Chewbacca,Luke Skywalker,C-3PO,R2-D2",Endor,6
,"Princess Leia,Luke Skywalker",Endor,6
,"Luke Skywalker,Han Solo,Chewbacca,R2-D2,C-3PO",Endor,6
,"Princess Leia,Wicket W Warwick",Endor,6
,"Emperor Palpatine/Darth Sidious,Anakin Skywalker/Darth Vader",Death Star 2,6
,"Luke Skywalker,Han Solo,Chewbacca,R2-D2,C-3PO",Endor,6
,"Luke Skywalker,Han Solo,Chewbacca,R2-D2,C-3PO,Princess Leia,Wicket W Warwick",Endor,6
,"Luke Skywalker,Han Solo,Chewbacca,R2-D2,C-3PO,Princess Leia,Wicket W Warwick",Endor,6
,"Princess Leia,Luke Skywalker,Han Solo",Endor,6
,"Anakin Skywalker/Darth Vader,Luke Skywalker",Endor,6
,"Han Solo,Princess Leia,Wicket W Warwick,C-3PO,Chewbacca,Paploo",Endor,6
,"Admiral Ackbar,Lando Calrissian,Nien Nunb",Millenium Falcon,6
,"Han Solo,Princess Leia,Chewbacca,R2-D2,C-3PO,Wicket W Warwick,Paploo",Endor,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Death Star 2,6
,"Han Solo,Princess Leia,Chewbacca,R2-D2,C-3PO,Wicket W Warwick",Endor,6
,"Lando Calrissian,Nien Nunb,Wedge Antilles,Admiral Ackbar",Alliance Fleet,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Death Star 2,6
,"Han Solo,Princess Leia,Chewbacca,R2-D2,C-3PO,Wicket W Warwick",Endor,6
,"Lando Calrissian,Nien Nunb,Wedge Antilles,Admiral Ackbar",Alliance Fleet,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious,Admiral Piett,Moff Jerjerrod",Death Star 2,6
,"Admiral Ackbar,Lando Calrissian,Nien Nunb",Alliance Fleet,6
,"R2-D2,C-3PO,Princess Leia,Han Solo",Endor,6
,Lando Calrissian,Millenium Falcon,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Death Star 2,6
,"Han Solo,Chewbacca,Princess Leia,R2-D2,C-3PO",Endor,6
,"Wedge Antilles,Nien Nunb,Lando Calrissian,Han Solo,Chewbacca",Various,6
,Luke Skywalker,Death Star 2,6
,"Han Solo,Admiral Ackbar,Nien Nunb,Lando Calrissian",Various,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Death Star 2,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader,Emperor Palpatine/Darth Sidious",Death Star 2,6
,"Admiral Ackbar,Admiral Piett,Wedge Antilles,Lando Calrissian,Nien Nunb",Various,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader",Death Star 2,6
,"Wedge Antilles,Luke Skywalker,Nien Nunb,Lando Calrissian",Death Star 2,6
,"Princess Leia,Han Solo,R2-D2,C-3PO,Wicket W Warwick,Chewbacca",Endor,6
,"Luke Skywalker,Anakin Skywalker/Darth Vader",Endor,6
,"Luke Skywalker,Princess Leia,Han Solo,Chewbacca,R2-D2,C-3PO,Wedge Antilles,Nien Nunb,Lando Calrissian,Yoda,Anakin Skywalker/Darth Vader,Obi-Wan Kenobi",Endor,6
,"Obi-Wan Kenobi,Qui-Gon Jinn",Naboo,1
,"TC-14,Nute Gunray,Daultray Dofine",Naboo,1
,"TC-14,Qui-Gon Jinn,Obi-Wan Kenobi",Naboo,1
,"Emperor Palpatine/Darth Sidious,Nute Gunray,Rune Haako,Daultray Dofine",Naboo,1
,"Obi-Wan Kenobi,Qui-Gon Jinn",Naboo,1
,"Obi-Wan Kenobi,Qui-Gon Jinn",Naboo,1
,"Nute Gunray,Rune Haako,Padme Amidala",Naboo,1
,"Emperor Palpatine/Darth Sidious,Padme Amidala,Sio Bibble,Captain Panaka",Naboo,1
,"Nute Gunray,Rune Haako",Naboo,1
,"Qui-Gon Jinn,Jar Jar Binks",Naboo,1
,"Obi-Wan Kenobi,Qui-Gon Jinn,Jar Jar Binks",Naboo,1
,"Obi-Wan Kenobi,Qui-Gon Jinn,Jar Jar Binks,Captain Tarpals",Naboo,1
,"Boss Nass,Obi-Wan Kenobi,Qui-Gon Jinn,Jar Jar Binks",Naboo,1
,"Emperor Palpatine/Darth Sidious,Nute Gunray,Rune Haako",Naboo,1
